ano,mes,tipoDespesa,codDocumento,tipoDocumento,codTipoDocumento,dataDocumento,numDocumento,valorDocumento,urlDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,numRessarcimento,codLote,parcela,nome_deputado
2024,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7675372,Nota Fiscal,0,2024-01-17T00:00:00,438,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7675372.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2006113,0,Alberto Fraga
2024,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7689943,Nota Fiscal,0,2024-02-21T00:00:00,479,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7689943.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2014674,0,Alberto Fraga
2024,4,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7724265,Nota Fiscal,0,2024-04-19T00:00:00,577,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7724265.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2033112,0,Alberto Fraga
2024,5,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7741127,Nota Fiscal,0,2024-05-22T00:00:00,607,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7741127.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2042346,0,Alberto Fraga
2024,6,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7758772,Nota Fiscal,0,2024-06-24T00:00:00,648,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7758772.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2051632,0,Alberto Fraga
2024,7,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7788908,Nota Fiscal,0,2024-07-11T00:00:00,689,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7788908.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2068303,0,Alberto Fraga
2024,10,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7821670,Nota Fiscal,0,2024-10-22T00:00:00,818,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7821670.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2084286,0,Alberto Fraga
2024,11,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7838485,Nota Fiscal,0,2024-11-19T00:00:00,856,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7838485.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2093340,0,Alberto Fraga
2024,12,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7847402,Nota Fiscal,0,2024-12-10T00:00:00,901,1050.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1472/2024/7847402.pdf,BROAD BRASIL LTDA,48949641000113,1050.0,0.0,,2098243,0,Alberto Fraga
2024,11,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7829588,Nota Fiscal Eletrônica,4,2024-11-12T00:00:00,6100,360.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7829588,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA,12132854000100,360.0,0.0,,2088616,0,Alberto Fraga
